Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,0.1u,C_0402_1005Metric,149.2,-111.5,0.0,top
C3,100n,C_0402_1005Metric,161.2,-97.4,0.0,top
C4,22n,C_0402_1005Metric,145.3,-104.6,90.0,top
C5,2.2u,C_0402_1005Metric,150.5,-101.5,0.0,top
C6,100n,C_0402_1005Metric,146.7,-104.6,90.0,top
C7,100n,C_0402_1005Metric,141.9,-97.1,180.0,top
C8,100n,C_0402_1005Metric,141.9,-102.9,180.0,top
C9,22u,C_0805_2012Metric,141.4,-95.6,180.0,top
C10,22u,C_0805_2012Metric,141.4,-104.4,180.0,top
C12,100n,C_0402_1005Metric,159.5,-88.5,-45.0,top
C13,100n,C_0402_1005Metric,161.2,-94.9,0.0,top
C14,100n,C_0402_1005Metric,158.8,-95.9,45.0,top
C15,100n,C_0402_1005Metric,152.0,-87.3,-135.0,top
C16,4.7u,C_0402_1005Metric,158.0,-95.1,45.0,top
C17,1pF,C_0402_1005Metric,149.839411,-86.439411,-45.0,top
C18,1pF,C_0402_1005Metric,146.6,-89.6,-45.0,top
D1,NSR0530HT1G,D_SOD-323,160.5,-104.9,90.0,top
R1,1M,R_0402_1005Metric,161.2,-102.2,0.0,top
R2,5.1k,R_0402_1005Metric,161.2,-99.8,180.0,top
R3,5.1k,R_0402_1005Metric,161.2,-101.0,180.0,top
R4,1k,R_0402_1005Metric,161.2,-93.8,0.0,top
R5,300,R_0402_1005Metric,161.2,-98.6,0.0,top
R6,10k,R_0402_1005Metric,161.2,-96.1,0.0,top
R7,1k,R_0402_1005Metric,149.4,-92.7,-45.0,top
R8,100k,R_0402_1005Metric,145.4,-95.7,0.0,top
R9,10k,R_0402_1005Metric,160.4,-87.6,-45.0,top
R10,1k,R_0402_1005Metric,147.2,-109.5,-90.0,top
R11,10k,R_0402_1005Metric,140.2,-86.6,90.0,top
R12,10k,R_0402_1005Metric,144.6,-83.7,0.0,top
R13,10k,R_0402_1005Metric,141.3,-83.7,180.0,top
R14,120m,R_1206_3216Metric,138.5,-103.4,-90.0,top
R15,120m,R_1206_3216Metric,138.5,-96.6,90.0,top
U2,UA78M33CDCYR,SOT-223-3_TabPin2,148.0,-116.5,-90.0,top
U3,ATSAMD51G18A-MU,VQFN-48-1EP_7x7mm_P0.5mm_EP5.15x5.15mm,155.0625,-91.25,-135.0,top
U4,TMC2209-LA,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm_ThermalVias,145.95,-100.0,90.0,top
U5,AT25040B-MAHL-T,DFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.5mm,142.925,-85.575,0.0,top
